add-yield-m,12,1000,24000,19578043,815,0
add-yield-c,2,1000,4000,1472386,368,0
add-yield-c,4,1000,8000,3888486,486,0
add-yield-c,8,1000,16000,13161327,822,0
add-yield-c,12,1000,24000,28368799,1182,0
add-yield-s,2,1000,4000,1365715,341,0
add-yield-s,4,1000,8000,4671972,583,0
add-yield-s,8,1000,16000,15642661,977,0
add-yield-s,12,1000,24000,23204443,966,0
add-m,1,10000,20000,454550,22,0
add-m,2,10000,40000,1146651,28,0
add-m,4,10000,80000,8357993,104,0
add-m,8,10000,160000,13939969,87,0
add-m,12,10000,240000,18734781,78,0
add-c,1,10000,20000,252905,12,0
add-c,2,10000,40000,2120936,53,0
add-c,4,10000,80000,9623388,120,0
add-c,8,10000,160000,34682225,216,0
add-c,12,10000,240000,76954504,320,0
add-s,1,10000,20000,265497,13,0
add-s,2,10000,40000,1994646,49,0
add-s,4,10000,80000,9577011,119,0
add-s,8,10000,160000,38236643,238,0
add-s,12,10000,240000,83078248,346,0
